"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","symbol","genename"
"AT1G19530",5048.89496206633,-2.69300897144431,0.255094907910501,2.6302355807009e-27,2.73440712464034e-23,"AT1G19530","RGAT1",NA
"AT4G16260",1658.23091925848,-1.91242705381025,0.195726696096291,9.78712803020215e-24,5.12992315703046e-20,"AT4G16260",NA,NA
"AT4G39675",771.340853387002,-2.86667076429111,0.298773419701571,4.34499145355745e-23,1.51828484692143e-19,"AT4G39675",NA,NA
"AT5G26130",176.950890377085,-4.59129479802224,0.503477220812675,4.06250150843117e-21,8.51744066257678e-18,"AT5G26130","AtCAPE8",NA
"AT5G38940",402.1553916895,-2.27973522874491,0.250385758283324,4.92380025557201e-21,8.60269967986023e-18,"AT5G38940",NA,NA
"AT3G43190",651.379610699114,-2.8808444142992,0.32075544536767,1.45587181919787e-20,1.90773803508141e-17,"AT3G43190","ATSUS4","Encodes a protein with sucrose synthase activity (SUS4)."
"AT2G16060",769.955677425567,-2.93435521626734,0.342534148258803,5.48941208711624e-19,5.48052446754663e-16,"AT2G16060","AHB1","Encodes a class 1 nonsymbiotic hemoglobin induced by low oxygen levels with very high oxygen affinity.  It is not likely to be a hemoglobin transporter because of its extremely high affinity for oxygen."
"AT3G23150",348.86234160339,-2.64074382693374,0.308723841580363,6.3210271681992e-19,6.02393889129383e-16,"AT3G23150","ETR2","Involved in ethylene perception in Arabidopsis"
"AT1G10070",195.619772107418,-2.43520560404172,0.28768128246503,1.50893327895677e-18,1.3754910924612e-15,"AT1G10070","ATBCAT-2","Encodes a chloroplast branched-chain amino acid aminotransferase. Complements the yeast leu/iso-leu/val auxotrophy mutant."
"AT2G05510",1529.05257132014,-3.02516300899366,0.359164860534011,1.89436754376353e-18,1.58869239690185e-15,"AT2G05510",NA,NA
"AT1G77120",1738.91234357695,-2.29188821437306,0.275144546309854,4.55072577675107e-18,3.40751845126296e-15,"AT1G77120","ADH","Catalyzes the reduction of acetaldehyde using NADH as reductant. Requires zinc for activity. Dimer. Anaerobic response polypeptide (ANP). Fermentation. The protein undergoes thiolation following treatment with the oxidant tert-butylhydroperoxide."
"AT4G40070",128.67511532226,-2.24234551721001,0.270218770215455,6.73258138941046e-18,4.86742418656482e-15,"AT4G40070","ATL32",NA
"AT4G27450",2235.7979125745,-2.27418566840329,0.287772828836636,1.59652256167411e-16,1.07976425896966e-13,"AT4G27450","HUP54",NA
"AT2G15880",152.301418799695,-2.67309581581907,0.343339922606027,3.69980521412807e-16,2.28147400351203e-13,"AT2G15880","LRX10",NA
"AT5G65207",1724.36965396124,-2.16252953520336,0.279349807280791,5.72262739388266e-16,3.42801731257554e-13,"AT5G65207",NA,NA
"AT4G33720",1416.49302869879,-1.82305122857296,0.245232707632307,6.888439502274e-15,3.3586749442948e-12,"AT4G33720","AtCAPE3",NA
"AT1G77210",33.1440738555387,-4.19146851813127,0.562541821126178,9.40759253408453e-15,4.48271784249128e-12,"AT1G77210","AtSTP14","AtSTP14 belongs to the family of sugar transport proteins (AtSTPs)in volved in monosaccharide transport. Heterologous expression in yeast revealed that AtSTP14 is the transporter specifc for galactose and does not transport other monosaccharides such as glucose or fructose."
"AT5G64240",466.62816808988,-1.6707068827402,0.232878774169573,5.00522167553695e-14,2.14162199284302e-11,"AT5G64240","AtMC3",NA
"AT1G49570",1012.0635283078,-2.03156502335396,0.285368424362018,6.46118413697706e-14,2.65618012972277e-11,"AT1G49570","IRR1",NA
"AT4G24110",128.759175611368,-2.91045412590997,0.420124284572428,2.18323432904596e-13,8.66382421092292e-11,"AT4G24110","HUP40",NA
"AT4G30140",109.14567500078,-2.23486848443422,0.322396495339067,2.57711042290686e-13,1.00058698382713e-10,"AT4G30140","CDEF1","Member of the GDSL lipase/esterase family of proteins that functions as cutinase. Expressed in pollen and at the zone of lateral root emergence."
"AT1G70290",720.65690425884,-2.12668457056969,0.314669528618893,7.91820469240878e-13,2.91251016808846e-10,"AT1G70290","ATTPS8","Encodes an enzyme putatively involved in trehalose biosynthesis. Though the protein has both trehalose-6-phosphate synthase (TPS)-like and trehalose-6-phosphate phosphatase (TPP)-like domains, neither activity has been detected in enzymatic assays nor has the protein been able to complement yeast TPS or TPP mutants."
"AT2G25680",103.705734951763,-2.19449063140651,0.327322391410057,1.15017372153641e-12,4.08721055012413e-10,"AT2G25680","MOT1","Encodes a high-affinity molybdate transporter. Mutant has reduced concentrations of molybdate  in roots and shoots, and reduced shoot and root length when growing on Mo-limited medium."
"AT5G07440",2565.06136833651,-2.38654327991575,0.365453153740608,3.21631934359936e-12,1.07037065647467e-09,"AT5G07440","GDH2","Encodes the beta-subunit of the glutamate dehydrogenase. The enzyme is almost exclusively found in the mitochondria of stem and leaf companion cells."
"AT1G73260",1767.91154831412,-1.61413426274512,0.24827220075591,5.43920967213404e-12,1.75443799978403e-09,"AT1G73260","ATKTI1","Encodes a trypsin inhibitor involved in modulating programmed cell death in plant-pathogen interactions."
"AT1G43800",448.026330486976,-3.16725143364857,0.493137086737053,6.29793034401691e-12,1.94180011165674e-09,"AT1G43800","AAD6",NA
"AT1G15125",97.3326999585585,-2.03525438541206,0.315581748312916,7.07868004905778e-12,2.12016579869351e-09,"AT1G15125",NA,NA
"AT3G52840",345.854121102288,-1.42270560004105,0.221301946552528,9.94229400423329e-12,2.90705089130776e-09,"AT3G52840","BGAL2",NA
"AT1G80380",1834.88549972271,-2.10102468950939,0.3390462979408,3.00009564974859e-11,8.50000072873364e-09,"AT1G80380","GLYK","encodes a glycerate kinase which catalyzes the last step of photorespiration C2 cycle."
"AT5G15120",273.36095758437,-1.48771580498774,0.238732041424416,3.37762089256231e-11,9.19677917317679e-09,"AT5G15120","HUP29",NA
"AT5G20830",2480.06565522893,-1.58685054952558,0.258040517505945,5.19031674624308e-11,1.34345902347818e-08,"AT5G20830","ASUS1","Encodes a protein with sucrose synthase activity (SUS1)."
"AT1G65970",752.05220967124,-1.90025493942363,0.310471029142669,5.59841170025983e-11,1.43141828911765e-08,"AT1G65970","PRXIIC","thioredoxin-dependent peroxidase 2"
"AT4G33070",604.090257969607,-2.37242100735139,0.399296371183624,1.46351810237522e-10,3.40934672604432e-08,"AT4G33070","AtPDC1",NA
"AT1G03090",702.418860607197,-1.97310043333815,0.334625973808149,2.13023274049366e-10,4.75132549331809e-08,"AT1G03090","MCCA","MCCA is the biotinylated subunit of the dimer MCCase, which is involved in leucine degradation. Both subunits are nuclear coded and the active enzyme is located in the mitochondrion."
"AT1G05135",170.336548824392,-2.18826600036592,0.372323991110972,2.3126620968997e-10,5.1039235287999e-08,"AT1G05135",NA,NA
"AT5G20250",6224.55459808196,-1.97778897975691,0.337926856165566,2.77770372317574e-10,6.00384909897964e-08,"AT5G20250","DIN10","encodes a member of glycosyl hydrolase family 36. Expression is induced within 3 hours of dark treatment, in senescing leaves and treatment with exogenous photosynthesis inhibitor. Induction of gene expression was suppressed in excised leaves supplied with sugar. The authors suggest that the gene's expression pattern is responding to the level of sugar in the cell."
"AT4G10530",21.7393758996361,-2.99712547307849,0.508250753364489,3.02385102680251e-10,6.46918985999403e-08,"AT4G10530",NA,NA
"AT1G71880",1220.71358251709,-1.54704982300005,0.264823459703716,3.5085432257074e-10,7.29500984948754e-08,"AT1G71880","ATSUC1","Sucrose transporter gene induced in response to nematodes; member of Sucrose-proton symporter family."
"AT5G47500",157.349285171707,-1.92726941931565,0.336271104095156,6.10438229841869e-10,1.19381121545211e-07,"AT5G47500","PME5",NA
"AT2G40940",675.929257930325,-1.19194947205487,0.211126500752348,1.50485782051023e-09,2.76761833901908e-07,"AT2G40940","ERS","Ethylene receptor, subfamily 1. Has histidine kinase activity."
