"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","symbol","genename"
"AT1G05300",198.943810545557,2.33944054289223,0.215605576697679,1.39178319263561e-28,2.91801264167982e-24,"AT1G05300","ZIP5","member of Fe(II) transporter isolog family"
"AT5G48000",324.747386656606,2.32882002883809,0.221123311599167,3.91263062764524e-27,2.73440712464034e-23,"AT5G48000","CYP708","Encodes a member of the CYP708A family of cytochrome P450 enzymes. THAH appears to add a hydroxyl group to the triterpene thalianol. thah1 mutants have an elevated accumulation of thalianol. thah1-1 mutants have longer roots than wild type plants. Thalian-diol and desaturated thalian-diol are lost from the root extracts of thah1-1 mutants. Overexpression of the sequence from At5g48000.1 rescues the thah1-1 mutant phenotype (Field 2008); it is unknown whether the shorter sequences associated with other gene models would provide functional complementation."
"AT5G47990",264.641599430443,3.07025260029828,0.319028918324731,4.32294878845908e-23,1.51828484692143e-19,"AT5G47990","CYP705A5","encodes a member of the CYP705A family of cytochrome P450 enzymes. It appears to catalyze the addition of a double bond to thalian-diol at carbon 15. Reduced levels of THAD expression lead to a build up of thalian-diol in root extracts. thad1-1 mutants also have longer roots than wild type seedlings."
"AT1G10970",424.321213130526,3.09433393387158,0.324930968827019,9.8667605597107e-23,2.95523574135564e-19,"AT1G10970","ATZIP4","A member of Zrt- and Irt-related protein (ZIP) family.  transcript is induced in response to zinc deficiency in the root and shoot. Expression is regulated by copper, but response to copper deficiency is detected only after three weeks of deficiency."
"AT1G34047",9628.00502108688,8.61662955811955,0.915285768153912,2.40286291859053e-22,6.29730299389614e-19,"AT1G34047","DEFL208","Encodes a defensin-like (DEFL) family protein."
"AT5G48010",193.636305964933,3.74215609406498,0.404451226519516,1.64416073679892e-21,3.83016377863625e-18,"AT5G48010","AtTHAS1","Encodes an oxidosqualene cyclase involved in the  biosynthesis of thalianol, a tricyclic triterpenoid of unknown function. Overexpression of THAS leads to dwarfing in the aerial tissues of Arabidopsis plants, but increases their root length. THAS is part of a small operon-like cluster of genes (with At5g48000 (THAH) and At5g47990 (THAD)) involved in thalianol metabolism."
"AT2G36255",2191.54317300797,7.30075129327987,0.801712819964332,4.72835569267636e-21,8.60269967986023e-18,"AT2G36255","DEFL203","Encodes a defensin-like (DEFL) family protein."
"AT1G12030",124.276997130222,5.24212389425742,0.581962128389786,6.22339081234533e-21,1.00368932132025e-17,"AT1G12030",NA,NA
"AT1G60960",528.859949724531,2.35485186862158,0.260174561735643,8.95752397018643e-21,1.25202298372619e-17,"AT1G60960","ATIRT3","Encodes a plasma membrane localized zinc/iron transporter."
"AT4G37700",106.802833759527,3.56088825952391,0.394200405119063,8.82101628664576e-21,1.25202298372619e-17,"AT4G37700",NA,NA
"AT3G12750",527.079117215301,3.38292574563184,0.377980179503353,1.81546809893231e-20,2.23900612718911e-17,"AT3G12750","AtZIP1","A member of Zrt- and Irt-related protein (ZIP) family.  transcript is induced in response to zinc deficiency in the root."
"AT2G41480",597.785287483502,2.16569729545685,0.242818248856936,2.81363348911207e-20,3.27725776292909e-17,"AT2G41480","AtPRX25",NA
"AT1G58270",858.377891588228,1.94309880454452,0.218004532381538,3.20446479763879e-20,3.53604257617342e-17,"AT1G58270","ZW9","ZW9 mRNA, complete cds"
"AT5G37990",569.155124095983,2.20873570726433,0.248537228274776,3.9276436040372e-20,4.11734879011219e-17,"AT5G37990","CIMT1",NA
"AT4G30110",357.61720988334,2.58344691017263,0.305419616012037,1.58024509706217e-18,1.38047577937523e-15,"AT4G30110","ATHMA2","encodes a protein similar to Zn-ATPase, a P1B-type ATPases transport zinc"
"AT3G28290",57.2284388889046,3.18905010973429,0.37793753254568,2.28484814482138e-18,1.77422689645648e-15,"AT3G28290","AT14A","Encodes a protein with sequence similarity to integrins. Localized to the cytoplasm and plasma membrane. Expressed in all tissues assayed."
"AT3G28300",57.2284388889046,3.18905010973429,0.37793753254568,2.28484814482138e-18,1.77422689645648e-15,"AT3G28300","AT14A","Possesses a transmembrane domain and a small region that has sequence similarities to integrins from fungi, insects and humans. Is localized to plasma membrane and cytoplasm."
"AT1G56430",118.191730136646,3.50742658484736,0.433479575204201,2.77503228845265e-17,1.93937756532328e-14,"AT1G56430","ATNAS4","Encodes a protein with nicotianamine synthase activity."
"AT1G75280",731.005464762937,1.34432067987242,0.169387030038029,1.81677494249649e-16,1.19032823263692e-13,"AT1G75280",NA,"isoflavone reductase, putative, identical to SP:P52577 Isoflavone reductase homolog P3 (EC 1.3.1.-) {Arabidopsis thaliana}; contains Pfam profile PF02716: isoflavone reductase. Involved in response to oxidative stress."
"AT1G20380",498.087581507396,3.57374359966655,0.455536236447954,2.28657345666313e-16,1.45273633613331e-13,"AT1G20380","POQR",NA
"AT5G02380",2734.27779822931,1.30856487357595,0.168158669259807,6.34639526649962e-16,3.69607008770642e-13,"AT5G02380","MT2B","cysteine-rich protein with copper-binding activity"
"AT1G22065",926.753835635422,1.50719625645759,0.194604598183498,7.18921069481005e-16,4.07375652506452e-13,"AT1G22065",NA,NA
"AT4G22214",118.522620447537,3.06975732658483,0.396907204839783,7.78211076895878e-16,4.29367722057868e-13,"AT4G22214",NA,"Encodes a defensin-like (DEFL) family protein."
"AT4G14060",395.801585453324,1.7610830703832,0.229612809209123,1.11243951102488e-15,5.98036071490963e-13,"AT4G14060",NA,NA
"AT4G11210",117.045067778668,2.76206639693666,0.363787702436798,2.25500096394263e-15,1.18195875525053e-12,"AT4G11210","DIR14",NA
"AT4G04830",2340.5458664571,1.38067261442072,0.183721932130393,4.78212648621518e-15,2.44541619292652e-12,"AT4G04830","ATMSRB5",NA
"AT3G49580",179.225027899889,6.70989073977719,0.918456912756688,6.6789832059212e-15,3.334084807032e-12,"AT3G49580","LSU1",NA
"AT4G31910",672.605092733469,1.57774927913071,0.214910782903767,1.54250886768565e-14,7.18672020442162e-12,"AT4G31910","BAT1",NA
"AT3G48340",926.353003396963,2.82806664567134,0.394531715031705,4.13145452419206e-14,1.88304512074371e-11,"AT3G48340","CEP2",NA
"AT4G39795",102.279728920393,2.57479657586279,0.359958495672192,4.28959106246912e-14,1.91352268544101e-11,"AT4G39795",NA,NA
"AT4G39770",135.262117370951,1.58093959069731,0.219780399257195,4.68185089408239e-14,2.04499345511107e-11,"AT4G39770","TPPH",NA
"AT2G17500",180.120801391663,1.57791072763232,0.220844076188262,6.27333005750638e-14,2.63053275971358e-11,"AT2G17500","PILS5",NA
"AT3G26450",212.827560038553,1.68420198770575,0.241780287715531,2.19013013058721e-13,8.66382421092292e-11,"AT3G26450",NA,NA
"AT1G09155",120.14303184121,3.07037446598471,0.452606328168964,6.23600476517641e-13,2.37716501648525e-10,"AT1G09155","AtPP2-B15",NA
"AT5G47980",86.1795192673173,2.27332094947428,0.335268225176056,7.74856628251332e-13,2.90100786927097e-10,"AT5G47980",NA,NA
"AT4G31330",258.67661250683,2.31594826437103,0.343969707258932,9.49540422234045e-13,3.43242491251017e-10,"AT4G31330",NA,NA
"AT1G78000",1620.14387615487,1.23664607025118,0.184289233209604,1.81462914853292e-12,6.34091912135687e-10,"AT1G78000","SEL1","Encodes a sulfate transporter that can restore sulfate uptake capacity of a yeast mutant lacking sulfate transporter genes."
"AT5G33355",10507.818720596,4.51689360619221,0.689091785010664,2.50502505754275e-12,8.60989432072807e-10,"AT5G33355","DEFL207","Encodes a defensin-like (DEFL) family protein."
"AT2G43290",373.126803800195,1.33134100771899,0.2008519728427,2.86568366010979e-12,9.69063284159061e-10,"AT2G43290","AtCML5","Encodes calmodulin-like MSS3."
"AT5G66690",556.632492212758,1.39479108715104,0.212929836149054,4.59989222646097e-12,1.5068959440622e-09,"AT5G66690","UGT72E2","UGT72E2 is an UDPG:coniferyl alcohol glucosyltransferase which glucosylates sinapyl- and coniferyl aldehydes as well as sinapyl- and coniferyl alcohol. The enzyme is thought to be involved in lignin metabolism. A knockdown mutant line (72E2KD) was obtained using RNAi silencing. A twofold reduction in coniferyl alcohol 4-<i>O</i>-glucoside and sinapyl alcohol 4-<i>O</i>-glucoside was detected in this line compared to wildtype. In comparison, both knockout and knockdown lines of UGT72E1 and UGT72E3, respectively, failed to display the same reduction in phenylpropanoid 4-<i>O</i>-glucosides."
"AT3G22370",90.9997398214134,2.00868921347823,0.309895064180998,5.79196695706829e-12,1.82419917040439e-09,"AT3G22370","AOX1A","Encodes AOX1a, an isoform of alternative oxidase that is expressed in rosettes, flowers, and root. The alternative oxidase of plant mitochondria transfers electrons from the ubiquinone pool to oxygen without energy conservations.  It is regulated through transcriptional control and by pyruvate.  Plays a role in shoot acclimation to low temperature.  Also is capable of ameliorating reactive oxygen species production when the cytochrome pathway is inhibited.  AOX1a also functions as a marker for mitochondrial retrograde response."
"AT5G23840",96.4716788348209,1.65799130215541,0.255128712522336,5.82950226161853e-12,1.82419917040439e-09,"AT5G23840",NA,NA
"AT2G32487",22.4706137447461,3.51643849567784,0.541795837975732,7.07293186404962e-12,2.12016579869351e-09,"AT2G32487",NA,NA
"AT3G20015",444.338681041903,1.15067024278661,0.177909894810382,9.98319489526656e-12,2.90705089130776e-09,"AT3G20015",NA,NA
"AT3G59930",25871.7269913695,4.31866633067067,0.688437001492141,1.5944980609047e-11,4.57948580067506e-09,"AT3G59930","DEFL206","Encodes a defensin-like (DEFL) family protein."
"AT1G27140",64.2225151528945,2.07537327823249,0.33492583267287,3.23121507579356e-11,8.92946636430509e-09,"AT1G27140","ATGSTU14","Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002)."
"ATCG01020",141.246513819371,2.98235291476811,0.484094957924469,3.23685702416859e-11,8.92946636430509e-09,"ATCG01020","bL32C","encodes a chloroplast ribosomal protein L32, a constituent of the large subunit of the ribosomal complex"
"AT4G00880",372.09201541538,1.14639017270487,0.18339148762725,4.15424327140485e-11,1.11663928754197e-08,"AT4G00880","SAUR31",NA
"AT1G13090",156.031930974753,1.23041496013078,0.198065386517804,4.97639659453382e-11,1.3206978607721e-08,"AT1G13090","CYP71B28","putative cytochrome P450"
"AT3G08860",122.061189491144,2.11378969557311,0.343861894917452,5.18258730447047e-11,1.34345902347818e-08,"AT3G08860","PYD4","Encodes a protein that is predicted to have beta-alanine aminotransferase activity."
"AT2G46680",643.504550234541,1.09892229292703,0.177596178800529,6.38730333246274e-11,1.61344821287246e-08,"AT2G46680","ATHB-7","encodes a putative transcription factor that contains a homeodomain closely linked to a leucine zipper motif. Transcript is detected in all tissues examined.  Is transcriptionally regulated in an ABA-dependent manner and may act in a signal transduction pathway which mediates a drought response."
"AT1G58684",171.66057767063,2.65742952488199,0.439823053221071,7.40506337399016e-11,1.82652421998915e-08,"AT1G58684","uS5v",NA
"AT1G58983",171.66057767063,2.65742952488199,0.439823053221071,7.40506337399016e-11,1.82652421998915e-08,"AT1G58983","uS5u",NA
"AT3G32040",102.539349627745,1.57020658169241,0.258170656526555,8.58330628131177e-11,2.09253022667422e-08,"AT3G32040","AtGGPS10",NA
"AT4G20000",102.533993717806,2.23718231464929,0.371187483836256,1.06503260815685e-10,2.56660616811684e-08,"AT4G20000","VQ28",NA
"AT4G19030",367.434331730525,1.35894886869064,0.224818808751765,1.22205128891479e-10,2.91153719583948e-08,"AT4G19030","AT-NLM1","an aquaporin whose expression level is reduced by ABA, NaCl, dark, and dessication. is expressed at relatively low levels under normal conditions. Also functions in arsenite transport and tolerance."
"AT1G78100",709.368596378365,1.45937526467768,0.242905616469716,1.4087247630644e-10,3.31857566094475e-08,"AT1G78100","AUF1",NA
"AT1G35250",95.5653382616821,1.49624737284362,0.250057117984729,1.53399889236648e-10,3.49629682828958e-08,"AT1G35250","ALT2",NA
"AT5G50400",705.646439810836,1.43709965241145,0.239428926971135,1.53419492608338e-10,3.49629682828958e-08,"AT5G50400","ATPAP27",NA
"AT1G06830",40.496539102741,2.40475198895082,0.404568184853752,1.66668963093098e-10,3.75739944108591e-08,"AT1G06830","CEPD1",NA
"AT3G02910",266.227207824435,1.47637840226459,0.250650481910687,2.74472438976878e-10,5.99436370373878e-08,"AT3G02910",NA,NA
"AT2G45720",196.204084957257,1.03887948020466,0.174880692028536,3.27666857529029e-10,6.93925589389254e-08,"AT2G45720",NA,NA
"AT1G76680",253.495598457981,1.47294988508807,0.251706528269213,3.51424208145684e-10,7.29500984948754e-08,"AT1G76680","ATOPR1","Encodes a member of an alpha/beta barrel fold family of FMN-containing oxidoreductases.  One of the closely related 12-oxophytodienoic acid reductases. This enzyme is not expected to participate in jasmonic acid biosynthesis because during in vitro assays, it shows very little activity with the naturally occurring OPDA isomer.  Shows activity towards 2,4,6-trinitrotoluene.  Expressed predominately in root.  Up-regulated by senescence and jasmonic acid. Induced by salicylic acid. Independent of NPR1 for their induction by salicylic acid. Predicted to be a cytosolic protein."
"AT1G11700",76.6427917054066,2.32991821984504,0.404200274458805,3.97752237404491e-10,8.17575824453192e-08,"AT1G11700",NA,NA
"AT2G01520",7315.85708758094,1.47914893880753,0.253618527871635,4.13462583336634e-10,8.41617138081152e-08,"AT2G01520","MLP328",NA
"AT3G29250",331.326532788082,1.61832124433743,0.278651906309036,4.57630741014008e-10,9.22565972701894e-08,"AT3G29250","AtSDR4",NA
"AT2G16005",37.1056827306454,2.40060341386399,0.415355304399288,5.62761061434094e-10,1.12369984895497e-07,"AT2G16005","ROSY1",NA
"AT4G04745",82.9347290462776,1.97075412115271,0.343890881397991,5.85168717702098e-10,1.15741955993794e-07,"AT4G04745",NA,NA
"AT2G39050",158.390855267687,1.27152108423557,0.219772077062629,6.14955696216865e-10,1.19381121545211e-07,"AT2G39050","ArathEULS3",NA
"AT4G01070",1802.2724681646,1.89670207844473,0.331347486482135,6.45548926569702e-10,1.241704476556e-07,"AT4G01070","GT72B1","the glycosyltransferase (UGT72B1) is involved in metabolizing xenobiotica (chloroaniline and chlorophenole). Comparison between wild type and knock-out mutant demonstrates the central role of this gene for metabolizing chloroaniline but significantly less for chlorophenole. The glucosyltransferase preferred UDP-xylose over UDP-glucose indicating its (additional) functioning as a xylosyltransferase in planta"
"AT5G04950",156.135080576917,2.2879823914486,0.402719740505777,6.74897347935705e-10,1.28635434516545e-07,"AT5G04950","ATNAS1","Encodes a nicotianamide synthase."
"AT1G02335",327.772696005484,1.56707000691784,0.27481950431783,8.14911961680696e-10,1.53922920617995e-07,"AT1G02335","GL22",NA
"AT3G26460",327.409453588214,1.41875415884968,0.248567355373941,8.58857618167346e-10,1.60775078772291e-07,"AT3G26460",NA,NA
"AT5G45100",218.658480425777,1.23630765943167,0.217982958990447,1.29861913043184e-09,2.4094556361623e-07,"AT5G45100","BRG1",NA
"AT2G07808",65.883932770788,1.9060596443913,0.343097603093532,1.55990802362403e-09,2.81939927787082e-07,"AT2G07808",NA,NA
"AT5G65040",90.5871568213484,1.65915354529472,0.298451137007685,1.75621433827302e-09,3.12040591662984e-07,"AT5G65040","IRM1",NA
"AT4G11393",210.987827597811,5.30712604451674,0.966134026269093,1.81817138375371e-09,3.20334296065381e-07,"AT4G11393","DEFL202","Encodes a defensin-like (DEFL) family protein."
"AT4G08570",105.784282156413,1.6697330327543,0.301115768631634,1.91333918059446e-09,3.34292243836195e-07,"AT4G08570","AtHMP33",NA
"AT4G21990",1396.94834961866,1.86248859926851,0.33666263626262,2.01046590924897e-09,3.45503510273064e-07,"AT4G21990","APR3","Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily.  This protein also belongs to the adenosine 5'-phosphosulfate reductase-like (APRL) group."
"AT4G23880",75.0279548871566,1.92696363316962,0.350292209022981,2.11189693000245e-09,3.59983992149848e-07,"AT4G23880",NA,NA
"AT1G75290",60.5575690366772,1.90230998814665,0.345525116480465,2.15232525194989e-09,3.63916542196624e-07,"AT1G75290",NA,"encodes a protein whose sequence is similar to an isoflavone reductase"
"AT1G16500",112.622098019211,1.52673279032014,0.275505797569389,2.19124413323064e-09,3.67532995978508e-07,"AT1G16500",NA,NA
"AT1G19960",811.346500126381,2.09958263649222,0.382394369352078,2.21546790771278e-09,3.68646826611954e-07,"AT1G19960",NA,NA
"AT5G26260",1273.84156768517,1.46569885012355,0.266882122307533,3.00238676721468e-09,4.80519396652084e-07,"AT5G26260",NA,NA
"AT1G14220",51.1080124885714,2.22040438230737,0.406910004234232,3.05797918536165e-09,4.85709027274942e-07,"AT1G14220",NA,NA
"AT5G07475",179.65082322802,1.4165678011996,0.260337889006855,4.00165266988847e-09,6.26109327439415e-07,"AT5G07475",NA,NA
"AT3G52900",263.956530346673,1.10534762034426,0.201366577334868,4.07966574198344e-09,6.33587199603146e-07,"AT3G52900",NA,NA
"AT4G04990",126.226521662264,2.05382351733406,0.383857564893433,5.22376540643008e-09,7.93633808052268e-07,"AT4G04990",NA,NA
"AT5G42500",171.449444339788,1.54463561405226,0.288617266116165,5.78035732754988e-09,8.53457547390217e-07,"AT5G42500","DIR2",NA
"AT2G36260",54.7162065525351,6.92765913824916,1.26159198888622,6.14377754754699e-09,8.94516944874098e-07,"AT2G36260",NA,NA
"AT3G50300",167.287444790314,1.463486057497,0.274154089033552,6.65183141282463e-09,9.61808947595043e-07,"AT3G50300",NA,NA
"AT1G70470",272.307682012344,1.23470443878052,0.230026449391282,6.78279164301133e-09,9.73956900615375e-07,"AT1G70470",NA,NA
"AT4G35640",32.0558690154485,2.63235761191859,0.499083551403755,6.82875438283221e-09,9.73956900615375e-07,"AT4G35640","ATSERAT3;2","Encodes a cytosolic serine O-acetyltransferase involved in sulfur assimilation and cysteine biosynthesis.  Expressed in the vascular system.  Expression is induced in both roots and shoots under sulfur-starved conditions."
"AT4G20240",126.450726942282,1.58926821099152,0.298662557505344,6.99125449692868e-09,9.90396228260855e-07,"AT4G20240","CYP71A27","putative cytochrome P450"
"AT4G04810",157.786756845554,1.38079334099605,0.258440051827856,7.10248664243101e-09,9.99400905672541e-07,"AT4G04810","ATMSRB4",NA
"AT3G27200",160.893036665492,1.03190148692126,0.1912013382849,7.50254889325542e-09,1.04171152381452e-06,"AT3G27200",NA,NA
"AT1G26920",159.658243606133,1.08729452851353,0.202073758926641,7.70433370704956e-09,1.06269118751316e-06,"AT1G26920",NA,NA
"AT3G02620",72.6362555157582,1.70744076943954,0.323178401943847,8.81270243971397e-09,1.19978648929249e-06,"AT3G02620","AAD4",NA
"AT2G21650",43.2322430464047,2.33299578607759,0.447664869033379,1.04169694780271e-08,1.40001398766869e-06,"AT2G21650","ATRL2","RSM1 is a member of a small sub-family of single MYB transcription factors. Analysis of overexpressin lines indicate its involvement during early morphogenesis."
"AT1G56580",341.483274319623,1.07605372244556,0.202314944253357,1.08041214529988e-08,1.43366588850362e-06,"AT1G56580","SVB","Encodes SMALLER WITH VARIABLE BRANCHES (SVB), a protein with a conserved domain of unknown function (DUF538).  The trichomes of the SVB mutants are smaller and exhibit branches of variable length and number."
"AT5G56080",322.462725549815,1.46381682044854,0.280488592997469,1.28948402657506e-08,1.67921255286788e-06,"AT5G56080","ATNAS2","Encodes a protein with nicotianamine synthase activity. Its transcript levels rise in roots in response to zinc deficiency and rise in leaves in response to elevated levels of zinc."
"AT2G46535",308.623083170525,1.33568738606583,0.255997993603269,1.41321118615487e-08,1.81775372570079e-06,"AT2G46535",NA,NA
"AT2G32270",526.86106473575,1.28867680932209,0.247160886717714,1.5519881690858e-08,1.98408438738128e-06,"AT2G32270","ZIP3","A member of Zrt- and Irt-related protein (ZIP) family.  transcript is induced in response to zinc deficiency in the root. also response to iron deficiency."
"AT4G36220",177.038580334639,1.42753899600945,0.275832160839679,1.74304261160392e-08,2.18830128113101e-06,"AT4G36220","CYP84A1","encodes ferulate 5-hydroxylase (F5H). Involved in lignin biosynthesis."
"AT5G47950",88.9367029935107,1.41793772559343,0.275958314336348,2.09138289605722e-08,2.59455229578318e-06,"AT5G47950","BIA2",NA
"AT2G35990",13.3301621266648,4.17049019650411,0.794744650566337,2.36690101526966e-08,2.91908509918492e-06,"AT2G35990","LOG2",NA
"AT1G62180",538.608477206237,1.24170137400026,0.243811319922181,3.01458249519641e-08,3.59112139740272e-06,"AT1G62180","APR2","encodes a adenosine 5'-phosphosulfate reductase, involved in sulfate assimilation. Is a major effect locus for natural variation of shoot sulfate content in Arabidopsis."
"AT1G34510",55.2753510422253,2.10244339532725,0.41860711559485,3.10061946341198e-08,3.6727450660958e-06,"AT1G34510","PRX8",NA
"AT5G42590",81.0337817193008,1.96128624556533,0.389609182885972,3.1221539088507e-08,3.67747634005414e-06,"AT5G42590","CYP71A16","putative cytochrome P450"
"AT1G17190",357.923032662199,1.48640067299128,0.295875929739941,3.63097916631164e-08,4.20591763540828e-06,"AT1G17190","ATGSTU26","Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002)."
"AT1G55910",33.83488052334,1.79856597075241,0.359414407956492,4.11394864107819e-08,4.71328126824292e-06,"AT1G55910","ZIP11","member of Putative zinc transporter ZIP2 - like family"
