"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031667","response to nutrient levels","29/391","288/21374",0.100694444444444,5.50445794259733,10.505797134608,1.06993751296684e-13,9.34055448820055e-11,8.21036259950347e-11,"AT1G34047/AT2G36255/AT3G49580/AT1G78000/AT5G33355/AT3G59930/AT3G08860/AT1G06830/AT5G65040/AT4G11393/AT3G25710/AT4G17670/AT1G23730/AT5G45380/AT1G78020/AT3G08040/AT1G73540/AT1G47400/AT4G02270/AT1G22160/AT1G04770/AT3G04530/AT1G47395/AT5G24660/AT5G14740/AT1G62420/ATCG00420/AT5G48850/AT5G04150",29
"GO:0042594","response to starvation","25/391","229/21374",0.109170305676856,5.96779057170618,10.3172631234576,9.1726873618216e-13,4.00387803343513e-10,3.51941530882524e-10,"AT1G34047/AT2G36255/AT3G49580/AT1G78000/AT5G33355/AT3G59930/AT1G06830/AT5G65040/AT4G11393/AT3G25710/AT4G17670/AT5G45380/AT1G78020/AT3G08040/AT1G73540/AT1G47400/AT4G02270/AT1G22160/AT1G04770/AT3G04530/AT1G47395/AT5G24660/ATCG00420/AT5G48850/AT5G04150",25
"GO:0071577","zinc ion transmembrane transport","9/391","22/21374",0.409090909090909,22.3629388514299,13.6848609406176,8.43865117542254e-11,2.45564749204796e-08,2.15851814276598e-08,"AT1G05300/AT1G10970/AT1G60960/AT3G12750/AT2G32270/AT1G55910/AT4G33020/AT3G61940/AT4G19680",9
"GO:0006829","zinc ion transport","9/391","28/21374",0.321428571428571,17.5708805261235,11.9771552917136,1.06327060722829e-09,2.32058810027574e-07,2.03980071755111e-07,"AT1G05300/AT1G10970/AT1G60960/AT3G12750/AT2G32270/AT1G55910/AT4G33020/AT3G61940/AT4G19680",9
"GO:0019748","secondary metabolic process","20/391","240/21374",0.0833333333333333,4.55541346973572,7.56122591226218,2.01923547287085e-08,3.52558513563251e-06,3.09899507310074e-06,"AT2G41480/AT5G66690/AT1G27140/AT4G01070/AT4G36220/AT1G17190/AT3G43800/AT4G38620/AT1G78340/AT1G17180/AT1G47400/AT5G62480/AT1G47395/AT5G17050/AT4G31940/AT3G12900/AT4G22680/AT4G12350/AT3G50740/AT1G63910",20
"GO:0006722","triterpenoid metabolic process","7/391","21/21374",0.333333333333333,18.2216538789429,10.7781043785448,6.05728285862127e-08,8.81334655929395e-06,7.74694597181563e-06,"AT5G48000/AT5G47990/AT5G48010/AT5G42590/AT5G36140/AT5G42600/AT5G36150",7
"GO:0009698","phenylpropanoid metabolic process","14/391","140/21374",0.1,5.46649616368286,7.23773049938992,3.00913972075615e-07,3.61370450336981e-05,3.17645214078084e-05,"AT2G41480/AT5G66690/AT4G01070/AT4G36220/AT4G38620/AT1G47400/AT1G47395/AT5G17050/AT4G31940/AT3G12900/AT4G22680/AT4G12350/AT3G50740/AT1G63910",14
"GO:0000041","transition metal ion transport","11/391","83/21374",0.132530120481928,7.24475395186886,7.78114805672983,3.3115276090445e-07,3.61370450336981e-05,3.17645214078084e-05,"AT1G05300/AT1G10970/AT1G60960/AT3G12750/AT2G32270/AT1G55910/AT4G33020/AT1G47400/AT3G61940/AT1G47395/AT4G19680",11
"GO:0009268","response to pH","6/391","18/21374",0.333333333333333,18.2216538789429,9.9778847718619,5.55903618746363e-07,5.39226510183972e-05,4.73980980194268e-05,"AT2G30360/AT1G47400/AT1G47395/AT4G31940/AT3G12900/AT4G17680",6
"GO:0009804","coumarin metabolic process","5/391","12/21374",0.416666666666667,22.7770673486786,10.3004546211809,1.42291446571067e-06,0.000124220432856542,0.000109189962684535,"AT1G47400/AT1G47395/AT5G17050/AT4G31940/AT3G12900",5
"GO:0031669","cellular response to nutrient levels","15/391","194/21374",0.077319587628866,4.22667229150737,6.16282843914642,3.07341781461931e-06,0.000243917613832969,0.000214403979603586,"AT3G49580/AT1G78000/AT3G08860/AT1G06830/AT3G25710/AT5G45380/AT3G08040/AT1G73540/AT4G02270/AT1G04770/AT3G04530/AT5G24660/ATCG00420/AT5G48850/AT5G04150",15
"GO:0009267","cellular response to starvation","14/391","176/21374",0.0795454545454545,4.34834922111137,6.08873353731254,4.7104632041521e-06,0.000342686198102065,0.000301221725949726,"AT3G49580/AT1G78000/AT1G06830/AT3G25710/AT5G45380/AT3G08040/AT1G73540/AT4G02270/AT1G04770/AT3G04530/AT5G24660/ATCG00420/AT5G48850/AT5G04150",14
"GO:0097501","stress response to metal ion","6/391","27/21374",0.222222222222222,12.1477692526286,7.91204518805861,7.71059311294376e-06,0.000517795983661531,0.000455143512496842,"AT1G34047/AT2G36255/AT5G33355/AT3G59930/AT4G11393/AT5G17450",6
"GO:0072350","tricarboxylic acid metabolic process","5/391","18/21374",0.277777777777778,15.1847115657857,8.21834061469331,1.40592708429193e-05,0.000876695960419182,0.000770617176277307,"AT1G56430/AT5G04950/AT5G56080/AT1G09240/AT4G23870",5
"GO:0010038","response to metal ion","16/391","250/21374",0.064,3.49855754475703,5.42448624646526,1.61761304183525e-05,0.000941450790348116,0.000827536777191508,"AT1G34047/AT2G36255/AT3G12750/AT5G33355/AT3G59930/AT2G01520/AT4G11393/AT5G56080/AT4G33020/AT5G37770/AT2G30360/AT2G37330/AT4G23870/AT4G31940/AT3G12900/AT5G17450",16
"GO:0009808","lignin metabolic process","8/391","67/21374",0.119402985074627,6.5271595984273,6.18536859292122,2.9682141619643e-05,0.00147982766229688,0.00130077092399401,"AT2G41480/AT5G66690/AT4G01070/AT4G36220/AT4G22680/AT4G12350/AT3G50740/AT1G63910",8
"GO:0010446","response to alkaline pH","4/391","11/21374",0.363636363636364,19.8781678679377,8.5489425226901,3.28720926301826e-05,0.00147982766229688,0.00130077092399401,"AT1G47400/AT1G47395/AT4G31940/AT4G17680",4
"GO:0009636","response to toxic substance","13/391","184/21374",0.0706521739130435,3.86219837651507,5.32268169526003,3.62191808073158e-05,0.00147982766229688,0.00130077092399401,"AT2G41480/AT3G49580/AT1G27140/AT4G01070/AT1G17190/AT3G43800/AT1G78340/AT1G17180/AT5G24655/AT5G62480/AT5G24660/AT1G33090/AT5G17450",13
"GO:0098754","detoxification","12/391","160/21374",0.075,4.09987212276215,5.37254199442479,4.0203400007186e-05,0.00147982766229688,0.00130077092399401,"AT2G41480/AT3G49580/AT1G27140/AT1G17190/AT3G43800/AT1G78340/AT1G17180/AT5G24655/AT5G62480/AT5G24660/AT1G33090/AT5G17450",12
"GO:0003008","system process","5/391","22/21374",0.227272727272727,12.4238549174611,7.317994356417,4.06825474170965e-05,0.00147982766229688,0.00130077092399401,"AT1G56430/AT5G04950/AT5G56080/AT1G09240/AT5G09220",5
"GO:0003013","circulatory system process","5/391","22/21374",0.227272727272727,12.4238549174611,7.317994356417,4.06825474170965e-05,0.00147982766229688,0.00130077092399401,"AT1G56430/AT5G04950/AT5G56080/AT1G09240/AT5G09220",5
"GO:0003018","vascular process in circulatory system","5/391","22/21374",0.227272727272727,12.4238549174611,7.317994356417,4.06825474170965e-05,0.00147982766229688,0.00130077092399401,"AT1G56430/AT5G04950/AT5G56080/AT1G09240/AT5G09220",5
"GO:0010232","vascular transport","5/391","22/21374",0.227272727272727,12.4238549174611,7.317994356417,4.06825474170965e-05,0.00147982766229688,0.00130077092399401,"AT1G56430/AT5G04950/AT5G56080/AT1G09240/AT5G09220",5
"GO:0010233","phloem transport","5/391","22/21374",0.227272727272727,12.4238549174611,7.317994356417,4.06825474170965e-05,0.00147982766229688,0.00130077092399401,"AT1G56430/AT5G04950/AT5G56080/AT1G09240/AT5G09220",5
"GO:0098660","inorganic ion transmembrane transport","15/391","264/21374",0.0568181818181818,3.10596372936526,4.69998059857663,0.000114307550034939,0.00399161964722006,0.00350864016738823,"AT1G05300/AT1G10970/AT1G60960/AT3G12750/AT1G78000/AT2G32270/AT1G55910/AT4G33020/AT1G08090/AT1G64780/AT4G24570/AT3G61940/AT5G42610/AT4G19680/ATCG01010",15
"GO:0009699","phenylpropanoid biosynthetic process","9/391","105/21374",0.0857142857142857,4.6855681402996,5.16788558755446,0.000133971680302502,0.00449835680400325,0.00395406295305766,"AT4G01070/AT4G36220/AT4G38620/AT5G17050/AT4G31940/AT3G12900/AT4G22680/AT4G12350/AT1G63910",9
"GO:0006721","terpenoid metabolic process","13/391","210/21374",0.0619047619047619,3.38402143466082,4.739235150873,0.00013932312215972,0.00450478094983095,0.00395970978769731,"AT5G48000/AT5G47990/AT5G48010/AT3G32040/AT5G42590/AT3G32030/AT3G21420/AT1G13930/AT5G36140/AT5G42600/AT5G36150/AT3G14530/AT2G18620",13
"GO:0030001","metal ion transport","14/391","245/21374",0.0571428571428571,3.12371209353307,4.5637993487306,0.000180894303501932,0.00547938533354539,0.0048163886274246,"AT1G05300/AT1G10970/AT1G60960/AT3G12750/AT2G32270/AT1G55910/AT4G33020/AT3G08040/AT1G47400/AT3G61940/AT5G42610/AT1G47395/AT4G19680/AT5G17450",14
"GO:0009407","toxin catabolic process","6/391","46/21374",0.130434782608696,7.13021238741243,5.68154829166556,0.000182018527689366,0.00547938533354539,0.0048163886274246,"AT1G27140/AT1G17190/AT3G43800/AT1G78340/AT1G17180/AT5G62480",6
"GO:1900376","regulation of secondary metabolite biosynthetic process","4/391","20/21374",0.2,10.9329923273657,6.06656436739565,0.000423580041670758,0.0123261792126191,0.0108347315922099,"AT4G38620/AT4G22680/AT4G12350/AT1G63910",4
"GO:0098655","monoatomic cation transmembrane transport","11/391","181/21374",0.0607734806629834,3.32217998897854,4.28278504903165,0.000523535602091282,0.0146742381358248,0.0128986792078329,"AT1G05300/AT1G10970/AT1G60960/AT3G12750/AT2G32270/AT1G55910/AT4G33020/AT3G61940/AT5G42610/AT4G19680/ATCG01010",11
"GO:0098662","inorganic cation transmembrane transport","12/391","211/21374",0.0568720379146919,3.1089077708149,4.20240137630244,0.000537887308529659,0.0146742381358248,0.0128986792078329,"AT1G05300/AT1G10970/AT1G60960/AT3G12750/AT2G32270/AT1G55910/AT4G33020/AT1G64780/AT3G61940/AT5G42610/AT4G19680/ATCG01010",12
"GO:0044550","secondary metabolite biosynthetic process","9/391","127/21374",0.0708661417322835,3.87389491914534,4.43415905504005,0.000556100014550465,0.0147113731121987,0.0129313209125132,"AT4G01070/AT4G36220/AT4G38620/AT5G17050/AT4G31940/AT3G12900/AT4G22680/AT4G12350/AT1G63910",9
"GO:0006720","isoprenoid metabolic process","13/391","244/21374",0.0532786885245902,2.91247746425726,4.1013687897341,0.000593467081656127,0.0152208369465937,0.0133791404522419,"AT5G48000/AT5G47990/AT5G48010/AT3G32040/AT5G42590/AT3G32030/AT3G21420/AT1G13930/AT5G36140/AT5G42600/AT5G36150/AT3G14530/AT2G18620",13
"GO:0033383","geranyl diphosphate metabolic process","3/391","10/21374",0.3,16.3994884910486,6.64893890196212,0.000662533566976587,0.0152208369465937,0.0133791404522419,"AT3G32040/AT3G14530/AT2G18620",3
"GO:0033384","geranyl diphosphate biosynthetic process","3/391","10/21374",0.3,16.3994884910486,6.64893890196212,0.000662533566976587,0.0152208369465937,0.0133791404522419,"AT3G32040/AT3G14530/AT2G18620",3
"GO:0033385","geranylgeranyl diphosphate metabolic process","3/391","10/21374",0.3,16.3994884910486,6.64893890196212,0.000662533566976587,0.0152208369465937,0.0133791404522419,"AT3G32040/AT3G14530/AT2G18620",3
"GO:0033386","geranylgeranyl diphosphate biosynthetic process","3/391","10/21374",0.3,16.3994884910486,6.64893890196212,0.000662533566976587,0.0152208369465937,0.0133791404522419,"AT3G32040/AT3G14530/AT2G18620",3
"GO:0006812","monoatomic cation transport","15/391","313/21374",0.0479233226837061,2.61972659601415,3.94059425059682,0.000700351825604523,0.0156771062500705,0.0137802019127044,"AT1G05300/AT1G10970/AT1G60960/AT3G12750/AT2G32270/AT1G55910/AT4G33020/AT3G08040/AT1G47400/AT3G61940/AT5G42610/AT1G47395/AT4G19680/ATCG01010/AT5G17450",15
"GO:0006749","glutathione metabolic process","6/391","60/21374",0.1,5.46649616368286,4.7293062829527,0.000784859081922091,0.0171295494629496,0.0150569018610843,"AT1G27140/AT1G17190/AT3G43800/AT1G78340/AT1G17180/AT5G62480",6
"GO:0009404","toxin metabolic process","6/391","61/21374",0.0983606557377049,5.37688147247495,4.67298882246195,0.000857264806623637,0.0182534677117667,0.0160448278312871,"AT1G27140/AT1G17190/AT3G43800/AT1G78340/AT1G17180/AT5G62480",6
"GO:0003333","amino acid transmembrane transport","6/391","65/21374",0.0923076923076923,5.04599645878418,4.45951853394543,0.0011996261102361,0.0249350855770503,0.0219179808110806,"AT5G09220/AT2G24762/AT5G57685/AT4G31730/AT5G19500/AT4G25760",6
"GO:0034220","monoatomic ion transmembrane transport","11/391","201/21374",0.054726368159204,2.99161481594585,3.8725720764996,0.00123911312263521,0.0251568780479196,0.0221129367540042,"AT1G05300/AT1G10970/AT1G60960/AT3G12750/AT2G32270/AT1G55910/AT4G33020/AT3G61940/AT5G42610/AT4G19680/ATCG01010",11
"GO:0034762","regulation of transmembrane transport","4/391","27/21374",0.148148148148148,8.09851283508572,5.038115971585,0.00138693628709294,0.026906563969603,0.0236509135272691,"AT2G24762/AT5G57685/AT4G31730/AT4G25760",4
"GO:2000762","regulation of phenylpropanoid metabolic process","4/391","27/21374",0.148148148148148,8.09851283508572,5.038115971585,0.00138693628709294,0.026906563969603,0.0236509135272691,"AT4G38620/AT4G22680/AT4G12350/AT1G63910",4
"GO:0009308","amine metabolic process","8/391","119/21374",0.0672268907563025,3.67495540415655,3.9943563149798,0.00156883836734778,0.0296257497647443,0.0260410822674367,"AT1G56430/AT5G04950/AT5G56080/AT2G35990/AT1G09240/AT2G25150/AT2G37210/AT4G35190",8
"GO:0098869","cellular oxidant detoxification","4/391","28/21374",0.142857142857143,7.80928023383266,4.92163386591553,0.001594971636819,0.0296257497647443,0.0260410822674367,"AT2G41480/AT3G49580/AT5G24655/AT5G24660",4
"GO:0006790","sulfur compound metabolic process","16/391","377/21374",0.0424403183023873,2.3199983718548,3.52982177411949,0.00168530376998743,0.0306514623166464,0.0269426852701938,"AT1G27140/AT4G21990/AT4G35640/AT1G62180/AT1G17190/AT3G43800/AT1G78340/AT1G17180/AT2G32860/AT1G04770/AT5G54770/AT5G62480/AT3G60140/AT1G68360/AT3G45080/AT5G48850",16
"GO:1901141","regulation of lignin biosynthetic process","3/391","14/21374",0.214285714285714,11.713920350749,5.47392872629143,0.0019032392181384,0.0339087313762209,0.0298058300756798,"AT4G22680/AT4G12350/AT1G63910",3
"GO:0006811","monoatomic ion transport","15/391","349/21374",0.0429799426934097,2.34949691848834,3.46979598145398,0.00205986253793464,0.0359651999123388,0.0316134692664075,"AT1G05300/AT1G10970/AT1G60960/AT3G12750/AT2G32270/AT1G55910/AT4G33020/AT3G08040/AT1G47400/AT3G61940/AT5G42610/AT1G47395/AT4G19680/ATCG01010/AT5G17450",15
